question_index,reference_answer,selected_answer_n1,vote_key_n1,tie_n1,correct_n1,selected_answer_n2,vote_key_n2,tie_n2,correct_n2,selected_answer_n4,vote_key_n4,tie_n4,correct_n4,selected_answer_n8,vote_key_n8,tie_n8,correct_n8,selected_answer_n16,vote_key_n16,tie_n16,correct_n16,category
15,6 - 5i,6 - 5i,sympy:-1*5*i + 6,False,True,6 - 5i,sympy:-1*5*i + 6,False,True,6 - 5i,sympy:-1*5*i + 6,False,True,6 - 5i,sympy:-1*5*i + 6,False,True,6 - 5i,sympy:-1*5*i + 6,False,True,stable_correct
16,-50,-50,sympy:-50,False,True,-50,sympy:-50,False,True,-50,sympy:-50,False,True,-50,sympy:-50,False,True,-50,sympy:-50,False,True,stable_correct
17,\pi,\frac{\pi}{2},sympy:pi/2,False,False,\frac{\pi}{2},sympy:pi/2,True,False,\pi,sympy:pi,False,True,\frac{\pi}{2},sympy:pi/2,True,False,\frac{\pi}{2},sympy:pi/2,False,False,regressed_or_unstable
18,28,28,sympy:28,False,True,28,sympy:28,False,True,28,sympy:28,True,True,56,sympy:56,False,False,56,sympy:56,False,False,regressed_or_unstable
19,3,\boxed{3},sympy:3,False,True,\boxed{3},sympy:3,False,True,\boxed{3},sympy:3,False,True,\boxed{3},sympy:3,False,True,\boxed{3},sympy:3,False,True,stable_correct
20,6+9i,6+9i,sympy:9*i + 6,False,True,6+9i,sympy:9*i + 6,False,True,6+9i,sympy:9*i + 6,False,True,6+9i,sympy:9*i + 6,False,True,6+9i,sympy:9*i + 6,False,True,stable_correct
21,13535,6768,sympy:6768,False,False,6768,sympy:6768,True,False,6768,sympy:6768,True,False,13535,sympy:13535,False,True,13535,sympy:13535,False,True,recovered
22,5,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,stable_correct
23,x=5,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,stable_correct
24,10,10,sympy:10,False,True,10,sympy:10,True,True,10,sympy:10,False,True,10,sympy:10,False,True,10,sympy:10,False,True,stable_correct
25,"1,-2",,,False,False,\text{No solution},sympy:i*l*n*n*o*o*o*s*t*u,False,False,\text{No solution},sympy:i*l*n*n*o*o*o*s*t*u,True,False,"0, 1","sympy:{0, 1}",False,False,"0, 1","sympy:{0, 1}",True,False,stable_wrong
26,144,576,sympy:576,False,False,576,sympy:576,True,False,576,sympy:576,True,False,576,sympy:576,False,False,576,sympy:576,False,False,stable_wrong
27,78,78,sympy:78,False,True,78,sympy:78,False,True,78,sympy:78,False,True,78,sympy:78,False,True,78,sympy:78,False,True,stable_correct
28,-2 + 7i,-2 + 7i,sympy:7*i - 2,False,True,-2 + 7i,sympy:7*i - 2,False,True,-2 + 7i,sympy:7*i - 2,False,True,-2 + 7i,sympy:7*i - 2,False,True,-2 + 7i,sympy:7*i - 2,False,True,stable_correct
29,225,225,sympy:225,False,True,225,sympy:225,False,True,225,sympy:225,False,True,225,sympy:225,False,True,225,sympy:225,False,True,stable_correct
30,52_8,52,sympy:52,False,True,52,sympy:52,False,True,52,sympy:52,False,True,52,sympy:52,False,True,52,sympy:52,False,True,stable_correct
31,11\sqrt2,11\sqrt{2},sympy:11*sqrt(2),False,True,11\sqrt{2},sympy:11*sqrt(2),False,True,11\sqrt{2},sympy:11*sqrt(2),False,True,11\sqrt{2},sympy:11*sqrt(2),False,True,11\sqrt{2},sympy:11*sqrt(2),False,True,stable_correct
32,720,720,sympy:720,False,True,720,sympy:720,False,True,720,sympy:720,False,True,720,sympy:720,False,True,720,sympy:720,False,True,stable_correct
33,\frac{243}{625},\frac{27}{70},sympy:27/70,False,False,\frac{27}{70},sympy:27/70,True,False,\frac{9}{25},sympy:9/25,False,False,\frac{9}{25},sympy:9/25,False,False,\frac{81}{205},sympy:81/205,False,False,stable_wrong
34,-125,-125,sympy:-125,False,True,-125,sympy:-125,False,True,-125,sympy:-125,False,True,-125,sympy:-125,False,True,-125,sympy:-125,False,True,stable_correct
35,3,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,stable_correct
36,"3, 5, 7",5,sympy:5,False,False,5,sympy:5,True,False,"3, 5, 7","sympy:{3, 5, 7}",False,True,"3, 5, 7","sympy:{3, 5, 7}",False,True,"3, 5, 7","sympy:{3, 5, 7}",False,True,recovered
37,72,72,sympy:72,False,True,72,sympy:72,False,True,72,sympy:72,False,True,72,sympy:72,False,True,72,sympy:72,False,True,stable_correct
38,2000,2000,sympy:2000,False,True,2000,sympy:2000,False,True,2000,sympy:2000,False,True,2000,sympy:2000,False,True,2000,sympy:2000,False,True,stable_correct
39,23,23,sympy:23,False,True,23,sympy:23,False,True,23,sympy:23,False,True,23,sympy:23,False,True,23,sympy:23,False,True,stable_correct
40,12,12,sympy:12,False,True,12,sympy:12,False,True,12,sympy:12,False,True,12,sympy:12,False,True,12,sympy:12,False,True,stable_correct
41,17,17,sympy:17,False,True,17,sympy:17,True,True,17,sympy:17,False,True,17,sympy:17,True,True,5,sympy:5,False,False,regressed_or_unstable
42,4,4,sympy:4,False,True,4,sympy:4,False,True,4,sympy:4,False,True,4,sympy:4,False,True,4,sympy:4,False,True,stable_correct
43,70 \sqrt{2},20\sqrt{5} + 80,sympy:20*sqrt(5) + 80,False,False,20\sqrt{5} + 80,sympy:20*sqrt(5) + 80,True,False,20\sqrt{5} + 10\sqrt{34},sympy:20*sqrt(5) + 10*sqrt(34),False,False,20\sqrt{5} + 10\sqrt{34},sympy:20*sqrt(5) + 10*sqrt(34),False,False,20\sqrt{5} + 10\sqrt{34},sympy:20*sqrt(5) + 10*sqrt(34),False,False,stable_wrong
44,1.25,1.25,sympy:1.25000000000000,False,True,1.25,sympy:1.25000000000000,False,True,1.25,sympy:1.25000000000000,False,True,1.25,sympy:1.25000000000000,False,True,1.25,sympy:1.25000000000000,False,True,stable_correct
45,2,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,stable_correct
46,6,6,sympy:6,False,True,6,sympy:6,False,True,6,sympy:6,False,True,6,sympy:6,False,True,6,sympy:6,False,True,stable_correct
47,5,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,stable_correct
48,\frac{3}{2},\frac{3}{2},sympy:3/2,False,True,\frac{3}{2},sympy:3/2,False,True,\frac{3}{2},sympy:3/2,False,True,\frac{3}{2},sympy:3/2,False,True,\frac{3}{2},sympy:3/2,False,True,stable_correct
49,83,83,sympy:83,False,True,83,sympy:83,False,True,83,sympy:83,False,True,83,sympy:83,False,True,83,sympy:83,False,True,stable_correct
50,203,29,sympy:29,False,False,29,sympy:29,True,False,256,sympy:256,False,False,203,sympy:203,False,True,203,sympy:203,False,True,recovered
51,x^5 - x^4 + x^3 - x^2 + x - 1,x^5 - x^4 + x^3 - x^2 + x - 1,sympy:x**5 - x**4 + x**3 - x**2 + x - 1,False,True,x^5 - x^4 + x^3 - x^2 + x - 1,sympy:x**5 - x**4 + x**3 - x**2 + x - 1,False,True,x^5 - x^4 + x^3 - x^2 + x - 1,sympy:x**5 - x**4 + x**3 - x**2 + x - 1,False,True,x^5 - x^4 + x^3 - x^2 + x - 1,sympy:x**5 - x**4 + x**3 - x**2 + x - 1,False,True,x^5 - x^4 + x^3 - x^2 + x - 1,sympy:x**5 - x**4 + x**3 - x**2 + x - 1,False,True,stable_correct
52,12,12,sympy:12,False,True,12,sympy:12,False,True,12,sympy:12,False,True,12,sympy:12,False,True,12,sympy:12,False,True,stable_correct
53,-\frac{\pi}{6},-\frac{\pi}{6},sympy:-1*pi/6,False,True,-\frac{\pi}{6},sympy:-1*pi/6,False,True,-\frac{\pi}{6},sympy:-1*pi/6,False,True,-\frac{\pi}{6},sympy:-1*pi/6,False,True,-\frac{\pi}{6},sympy:-1*pi/6,False,True,stable_correct
54,0.15,0.15,sympy:0.150000000000000,False,True,0.15,sympy:0.150000000000000,False,True,0.15,sympy:0.150000000000000,False,True,0.15,sympy:0.150000000000000,False,True,0.15,sympy:0.150000000000000,False,True,stable_correct
55,3,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,stable_correct
56,11,11,sympy:11,False,True,11,sympy:11,False,True,11,sympy:11,False,True,11,sympy:11,False,True,11,sympy:11,False,True,stable_correct
57,16,16,sympy:16,False,True,16,sympy:16,False,True,16,sympy:16,False,True,16,sympy:16,False,True,16,sympy:16,False,True,stable_correct
58,9901,9901,sympy:9901,False,True,9901,sympy:9901,False,True,9901,sympy:9901,False,True,9901,sympy:9901,False,True,9901,sympy:9901,False,True,stable_correct
59,5,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,5,sympy:5,False,True,stable_correct
60,"(6,31,-1)",,,False,False,,,False,False,"(0, -280, -244)","sympy:(0, -280, -244)",False,False,"(-3, 3, -1)","sympy:(-3, 3, -1)",False,False,"(-3, 3, -1)","sympy:(-3, 3, -1)",False,False,stable_wrong
61,-256,-256,sympy:-256,False,True,-256,sympy:-256,False,True,-256,sympy:-256,False,True,-256,sympy:-256,False,True,-256,sympy:-256,False,True,stable_correct
62,4,\sqrt{\frac{17 + \sqrt{129}}{2}},sympy:sqrt((sqrt(129) + 17)/2),False,False,\sqrt{\frac{17 + \sqrt{129}}{2}},sympy:sqrt((sqrt(129) + 17)/2),True,False,\sqrt{\frac{17 + \sqrt{129}}{2}},sympy:sqrt((sqrt(129) + 17)/2),True,False,4,sympy:4,False,True,\sqrt{\frac{17 + \sqrt{177}}{2}},sympy:sqrt((sqrt(177) + 17)/2),False,False,regressed_or_unstable
63,10,7,sympy:7,False,False,7,sympy:7,True,False,9,sympy:9,False,False,9,sympy:9,False,False,9,sympy:9,False,False,stable_wrong
64,\frac{35}{64},,,False,False,\frac{1}{16},sympy:1/16,False,False,\frac{1}{16},sympy:1/16,True,False,\frac{35}{64},sympy:35/64,False,True,\frac{35}{64},sympy:35/64,False,True,recovered
65,1,1,sympy:1,False,True,1,sympy:1,False,True,1,sympy:1,False,True,1,sympy:1,False,True,1,sympy:1,False,True,stable_correct
66,x^3+3x-6,x^3 + 3x - 6,sympy:x**3 + 3*x - 6,False,True,x^3 + 3x - 6,sympy:x**3 + 3*x - 6,False,True,x^3 + 3x - 6,sympy:x**3 + 3*x - 6,False,True,x^3 + 3x - 6,sympy:x**3 + 3*x - 6,False,True,x^3 + 3x - 6,sympy:x**3 + 3*x - 6,False,True,stable_correct
67,10,10,sympy:10,False,True,10,sympy:10,True,True,10,sympy:10,False,True,10,sympy:10,False,True,10,sympy:10,False,True,stable_correct
68,46,46,sympy:46,False,True,46,sympy:46,False,True,46,sympy:46,False,True,46,sympy:46,False,True,46,sympy:46,False,True,stable_correct
69,-1,-1,sympy:-1,False,True,-1,sympy:-1,False,True,-1,sympy:-1,False,True,-1,sympy:-1,False,True,-1,sympy:-1,False,True,stable_correct
70,40_9,40_9,sympy:40,False,True,40_9,sympy:40,False,True,40_9,sympy:40,False,True,40_9,sympy:40,False,True,40_9,sympy:40,False,True,stable_correct
71,2516_8,1234,sympy:1234,False,False,1234,sympy:1234,True,False,2516,sympy:2516,False,True,2516,sympy:2516,False,True,2516,sympy:2516,False,True,recovered
72,3,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,stable_correct
73,\frac{3\sqrt{3}}{4},\frac{3\sqrt{3}}{4},sympy:(3*sqrt(3))/4,False,True,\frac{3\sqrt{3}}{4},sympy:(3*sqrt(3))/4,False,True,\frac{3\sqrt{3}}{4},sympy:(3*sqrt(3))/4,False,True,\frac{3\sqrt{3}}{4},sympy:(3*sqrt(3))/4,False,True,\frac{3\sqrt{3}}{4},sympy:(3*sqrt(3))/4,False,True,stable_correct
74,\cot x,\cot x,sympy:cot(x),False,True,\cot x,sympy:cot(x),False,True,\cot x,sympy:cot(x),False,True,\cot x,sympy:cot(x),False,True,\cot x,sympy:cot(x),False,True,stable_correct
75,\frac{11}{36},\frac{11}{36},sympy:11/36,False,True,\frac{11}{36},sympy:11/36,False,True,\frac{11}{36},sympy:11/36,False,True,\frac{11}{36},sympy:11/36,False,True,\frac{11}{36},sympy:11/36,False,True,stable_correct
76,0,0,sympy:0,False,True,0,sympy:0,False,True,0,sympy:0,False,True,0,sympy:0,False,True,0,sympy:0,False,True,stable_correct
77,4,4,sympy:4,False,True,4,sympy:4,False,True,4,sympy:4,False,True,4,sympy:4,False,True,4,sympy:4,False,True,stable_correct
78,"(-2,1)","(-2, 1)","sympy:Interval.open(-2, 1)",False,True,"(-2, 1)","sympy:Interval.open(-2, 1)",False,True,"(-2, 1)","sympy:Interval.open(-2, 1)",False,True,"(-2, 1)","sympy:Interval.open(-2, 1)",False,True,"(-2, 1)","sympy:Interval.open(-2, 1)",False,True,stable_correct
79,2,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,stable_correct
80,501,1,sympy:1,False,False,1,sympy:1,False,False,1,sympy:1,False,False,1,sympy:1,False,False,1,sympy:1,False,False,stable_wrong
81,3,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,stable_correct
82,\frac{3}{2},\frac{3}{4},sympy:3/4,False,False,\frac{3}{4},sympy:3/4,True,False,\frac{3}{4},sympy:3/4,True,False,\frac{3}{2},sympy:3/2,False,True,\frac{3}{2},sympy:3/2,False,True,recovered
83,2,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,stable_correct
84,-1,-1,sympy:-1,False,True,-1,sympy:-1,False,True,-1,sympy:-1,False,True,-1,sympy:-1,False,True,-1,sympy:-1,False,True,stable_correct
85,\sqrt{5},\sqrt{5},sympy:sqrt(5),False,True,\sqrt{5},sympy:sqrt(5),False,True,\sqrt{5},sympy:sqrt(5),False,True,\sqrt{5},sympy:sqrt(5),False,True,\sqrt{5},sympy:sqrt(5),False,True,stable_correct
86,240,240,sympy:240,False,True,240,sympy:240,False,True,240,sympy:240,False,True,240,sympy:240,False,True,240,sympy:240,False,True,stable_correct
87,1,1,sympy:1,False,True,1,sympy:1,False,True,1,sympy:1,False,True,1,sympy:1,False,True,1,sympy:1,False,True,stable_correct
88,2,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,stable_correct
89,21,3,sympy:3,False,False,3,sympy:3,True,False,21,sympy:21,False,True,21,sympy:21,False,True,21,sympy:21,False,True,recovered
90,\frac{3}{2},15,sympy:15,False,False,15,sympy:15,False,False,15,sympy:15,False,False,15,sympy:15,False,False,15,sympy:15,False,False,stable_wrong
91,1,1,sympy:1,False,True,1,sympy:1,False,True,1,sympy:1,True,True,1,sympy:1,False,True,1,sympy:1,False,True,stable_correct
92,\frac{448}{15625},\frac{2240}{78125},sympy:448/15625,False,True,\frac{2240}{78125},sympy:448/15625,False,True,\frac{2240}{78125},sympy:448/15625,False,True,\frac{2240}{78125},sympy:448/15625,False,True,\frac{2240}{78125},sympy:448/15625,False,True,stable_correct
93,33,33,sympy:33,False,True,33,sympy:33,False,True,33,sympy:33,False,True,33,sympy:33,False,True,33,sympy:33,False,True,stable_correct
94,80,,,False,False,70,sympy:70,False,False,70,sympy:70,False,False,70,sympy:70,True,False,70,sympy:70,False,False,stable_wrong
95,-4,-4,sympy:-4,False,True,-4,sympy:-4,False,True,-4,sympy:-4,False,True,-4,sympy:-4,False,True,-4,sympy:-4,False,True,stable_correct
96,1 \pm \sqrt{19},"-1, 7","sympy:{-1, 7}",False,False,"-1, 7","sympy:{-1, 7}",False,False,"-1, 7","sympy:{-1, 7}",False,False,"-1, 7","sympy:{-1, 7}",True,False,2,sympy:2,False,False,stable_wrong
97,\text{east},east,sympy:E*a*s*t,False,True,east,sympy:E*a*s*t,False,True,east,sympy:E*a*s*t,False,True,east,sympy:E*a*s*t,False,True,east,sympy:E*a*s*t,False,True,stable_correct
98,2k+2,2k + 2,sympy:2*k + 2,False,True,2k + 2,sympy:2*k + 2,False,True,2k + 2,sympy:2*k + 2,False,True,2k + 2,sympy:2*k + 2,False,True,2k + 2,sympy:2*k + 2,False,True,stable_correct
99,\begin{pmatrix} -1/3 \\ 2/3 \\ 5/3 \end{pmatrix},,,False,False,\begin{pmatrix} -\frac{1}{3} \\ \frac{2}{3} \\ \frac{5}{3} \end{pmatrix},"parsed:Matrix([[-1/3], [f*r*a*c*5], [f*r*a*c*8]])",False,False,\begin{pmatrix} -\frac{1}{3} \\ \frac{2}{3} \\ \frac{5}{3} \end{pmatrix},"parsed:Matrix([[-1/3], [f*r*a*c*5], [f*r*a*c*8]])",False,False,\begin{pmatrix} -\frac{1}{3} \\ \frac{2}{3} \\ \frac{5}{3} \end{pmatrix},"parsed:Matrix([[-1/3], [f*r*a*c*5], [f*r*a*c*8]])",False,False,\begin{pmatrix} -\frac{1}{3} \\ \frac{2}{3} \\ \frac{5}{3} \end{pmatrix},"parsed:Matrix([[-1/3], [f*r*a*c*5], [f*r*a*c*8]])",False,False,stable_wrong
100,145^\circ,15,sympy:15,False,False,15,sympy:15,True,False,15,sympy:15,True,False,155^\circ,sympy:155,False,False,155^\circ,sympy:155,True,False,stable_wrong
101,850,1,sympy:1,False,False,1,sympy:1,False,False,1,sympy:1,False,False,1,sympy:1,True,False,1,sympy:1,True,False,stable_wrong
102,(a+5)(b+2),(a+5)(b+2),sympy:(a + 5)*(b + 2),False,True,(a+5)(b+2),sympy:(a + 5)*(b + 2),False,True,(a+5)(b+2),sympy:(a + 5)*(b + 2),False,True,(a+5)(b+2),sympy:(a + 5)*(b + 2),False,True,(a+5)(b+2),sympy:(a + 5)*(b + 2),False,True,stable_correct
103,"(3,4]",,,False,False,2,sympy:2,False,False,2,sympy:2,False,False,2,sympy:2,False,False,"(1, 4)","sympy:Interval.open(1, 4)",False,False,stable_wrong
104,40,36,sympy:36,False,False,36,sympy:36,False,False,36,sympy:36,False,False,36,sympy:36,False,False,36,sympy:36,False,False,stable_wrong
105,29,15,sympy:15,False,False,15,sympy:15,True,False,15,sympy:15,True,False,15.5,sympy:15.5000000000000,False,False,15.5,sympy:15.5000000000000,False,False,stable_wrong
106,\frac43,\frac{4}{3},sympy:4/3,False,True,\frac{4}{3},sympy:4/3,False,True,\frac{4}{3},sympy:4/3,False,True,\frac{4}{3},sympy:4/3,False,True,\frac{4}{3},sympy:4/3,False,True,stable_correct
107,9,9,sympy:9,False,True,9,sympy:9,True,True,9,sympy:9,False,True,9,sympy:9,False,True,9,sympy:9,False,True,stable_correct
108,2,2,sympy:2,False,True,2,sympy:2,True,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,stable_correct
109,120^\circ,,,False,False,,,False,False,,,False,False,65,sympy:65,True,False,65,sympy:65,True,False,stable_wrong
110,504,,,False,False,,,False,False,3,sympy:3,False,False,3,sympy:3,False,False,3,sympy:3,False,False,stable_wrong
111,210,210,sympy:210,False,True,210,sympy:210,False,True,210,sympy:210,False,True,210,sympy:210,False,True,210,sympy:210,False,True,stable_correct
112,13,12,sympy:12,False,False,12,sympy:12,True,False,13,sympy:13,False,True,13,sympy:13,False,True,13,sympy:13,False,True,recovered
113,8000,8000,sympy:8000,False,True,8000,sympy:8000,False,True,8000,sympy:8000,False,True,8000,sympy:8000,False,True,8000,sympy:8000,False,True,stable_correct
114,-5,-5,sympy:-5,False,True,-5,sympy:-5,False,True,-5,sympy:-5,False,True,-5,sympy:-5,False,True,-5,sympy:-5,False,True,stable_correct
115,1260,30240,sympy:30240,False,False,30240,sympy:30240,True,False,30240,sympy:30240,True,False,30240,sympy:30240,False,False,30240,sympy:30240,False,False,stable_wrong
116,2,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,stable_correct
117,3,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,3,sympy:3,False,True,stable_correct
118,81,,,False,False,81,sympy:81,False,True,81,sympy:81,False,True,81,sympy:81,False,True,81,sympy:81,False,True,recovered
119,-9,-9,sympy:-9,False,True,-9,sympy:-9,True,True,-9,sympy:-9,True,True,-9,sympy:-9,False,True,-9,sympy:-9,False,True,stable_correct
120,\text{even},\text{odd},sympy:dd*o,False,False,\text{odd},sympy:dd*o,True,False,\text{odd},sympy:dd*o,False,False,\text{odd},sympy:dd*o,False,False,\text{odd},sympy:dd*o,False,False,stable_wrong
121,6,6,sympy:6,False,True,6,sympy:6,False,True,6,sympy:6,False,True,6,sympy:6,False,True,6,sympy:6,False,True,stable_correct
122,9,9,sympy:9,False,True,9,sympy:9,False,True,9,sympy:9,False,True,9,sympy:9,False,True,9,sympy:9,False,True,stable_correct
123,8,,,False,False,8,sympy:8,False,True,8,sympy:8,True,True,6,sympy:6,False,False,6,sympy:6,False,False,regressed_or_unstable
124,\frac{11}{2},\frac{11}{2},sympy:11/2,False,True,\frac{11}{2},sympy:11/2,False,True,\frac{11}{2},sympy:11/2,False,True,\frac{11}{2},sympy:11/2,False,True,\frac{11}{2},sympy:11/2,False,True,stable_correct
125,-3,-3,sympy:-3,False,True,-3,sympy:-3,False,True,-3,sympy:-3,False,True,-3,sympy:-3,False,True,-3,sympy:-3,False,True,stable_correct
126,1+274i,1 + 2i,sympy:2*i + 1,False,False,1 + 2i,sympy:2*i + 1,False,False,1 + 2i,sympy:2*i + 1,False,False,1 + 2i,sympy:2*i + 1,False,False,1 + 2i,sympy:2*i + 1,True,False,stable_wrong
127,4210_{5},4210,sympy:4210,False,True,4210,sympy:4210,False,True,4210,sympy:4210,False,True,4210,sympy:4210,False,True,4210,sympy:4210,False,True,stable_correct
128,36,36,sympy:36,False,True,36,sympy:36,False,True,36,sympy:36,False,True,36,sympy:36,False,True,36,sympy:36,False,True,stable_correct
129,\frac{3840}{289},\frac{480}{17},sympy:480/17,False,False,\frac{480}{17},sympy:480/17,True,False,\frac{3840}{289},sympy:3840/289,False,True,\frac{3840}{289},sympy:3840/289,False,True,\frac{3840}{289},sympy:3840/289,False,True,recovered
130,13,13,sympy:13,False,True,13,sympy:13,False,True,13,sympy:13,False,True,13,sympy:13,False,True,13,sympy:13,False,True,stable_correct
131,8,8,sympy:8,False,True,8,sympy:8,False,True,8,sympy:8,False,True,8,sympy:8,False,True,8,sympy:8,False,True,stable_correct
132,4,4,sympy:4,False,True,4,sympy:4,False,True,4,sympy:4,False,True,4,sympy:4,False,True,4,sympy:4,False,True,stable_correct
133,120,120,sympy:120,False,True,120,sympy:120,False,True,120,sympy:120,False,True,120,sympy:120,False,True,120,sympy:120,False,True,stable_correct
134,16,16,sympy:16,False,True,16,sympy:16,False,True,16,sympy:16,False,True,16,sympy:16,False,True,16,sympy:16,False,True,stable_correct
135,9,9,sympy:9,False,True,9,sympy:9,False,True,9,sympy:9,False,True,9,sympy:9,False,True,9,sympy:9,False,True,stable_correct
136,64,,,False,False,,,False,False,,,False,False,64,sympy:64,False,True,64,sympy:64,False,True,recovered
137,204_5,204_5,sympy:204,False,True,204_5,sympy:204,False,True,204_5,sympy:204,False,True,204_5,sympy:204,False,True,204_5,sympy:204,False,True,stable_correct
138,\frac{1}{3},,,False,False,1,sympy:1,False,False,1,sympy:1,True,False,0,sympy:0,False,False,\frac{1}{5},sympy:1/5,False,False,stable_wrong
139,1,1,sympy:1,False,True,1,sympy:1,False,True,1,sympy:1,False,True,1,sympy:1,False,True,1,sympy:1,False,True,stable_correct
140,13,13,sympy:13,False,True,13,sympy:13,False,True,13,sympy:13,False,True,13,sympy:13,False,True,13,sympy:13,False,True,stable_correct
141,2,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,2,sympy:2,False,True,stable_correct
142,28800,28800,sympy:28800,False,True,28800,sympy:28800,True,True,28800,sympy:28800,False,True,28800,sympy:28800,True,True,28800,sympy:28800,True,True,stable_correct
