correct_at_stop,hybrid_stop_budget,invalid_extraction_driven_uncertainty,invalid_rate_at_stop,margin_missed_recovery_opportunity,margin_stop_budget,margin_to_hybrid_override,n16_correct,plurality_switches_t2_t16,policy_id,premature_stop_with_missed_recovery,primary_category,question_index,regression_avoided,safe_early_stop,stable_wrong_trajectory,stop_budget,successful_hybrid_intervention,unnecessary_continuation,unstable_trajectory
False,4,True,0.8125,False,3,True,False,1,safe_logistic_start2_every_sample_lambda10,False,unnecessary_continuation,285,False,False,False,16,False,True,False
True,11,True,0.5,False,11,False,True,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,290,False,True,False,10,False,False,False
True,16,False,0.0,False,16,False,True,2,safe_logistic_start2_every_sample_lambda10,False,unstable_trajectory,291,False,True,False,8,False,False,True
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,293,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,299,False,True,False,3,False,False,False
False,2,False,0.0,False,2,False,False,0,safe_logistic_start2_every_sample_lambda10,False,stable_wrong_trajectory,303,False,True,True,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,315,False,True,False,3,False,False,False
True,4,True,0.7142857142857143,False,3,True,True,1,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,326,False,True,False,7,False,False,False
True,4,False,0.0,False,4,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,328,False,True,False,9,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,331,False,True,False,5,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,335,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,337,False,True,False,3,False,False,False
True,4,False,0.0,False,4,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,339,False,True,False,5,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,348,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,367,False,True,False,3,False,False,False
False,2,False,0.0,False,2,False,False,1,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,369,False,True,False,7,False,False,False
True,16,True,0.14285714285714285,False,16,False,True,5,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,371,False,True,False,14,False,False,True
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,373,False,True,False,3,False,False,False
True,3,True,0.4,False,2,True,True,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,376,False,True,False,5,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,377,False,True,False,3,False,False,False
True,4,False,0.0,False,4,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,378,False,True,False,5,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,383,False,True,False,3,False,False,False
True,4,False,0.0,False,4,False,True,1,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,390,False,True,False,6,False,False,False
True,2,True,0.25,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,391,False,True,False,4,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,395,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,407,False,True,False,3,False,False,False
True,10,True,0.875,False,10,False,True,1,safe_logistic_start2_every_sample_lambda10,False,unnecessary_continuation,408,False,False,False,16,False,True,False
False,16,True,0.625,False,4,True,False,3,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,412,False,False,False,16,False,False,True
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,418,False,True,False,3,False,False,False
True,2,True,0.3333333333333333,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,421,False,True,False,9,False,False,False
True,16,True,0.0625,False,16,False,True,1,safe_logistic_start2_every_sample_lambda10,False,unnecessary_continuation,425,False,False,False,16,False,True,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,438,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,439,False,True,False,3,False,False,False
False,3,True,0.3333333333333333,False,2,True,False,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,444,False,True,True,9,False,False,False
False,16,True,0.5,False,16,False,False,4,safe_logistic_start2_every_sample_lambda10,False,unnecessary_continuation,445,False,False,False,16,False,True,True
True,4,False,0.0,False,4,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,447,False,True,False,5,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,451,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,453,False,True,False,3,False,False,False
False,16,True,1.0,False,16,False,False,0,safe_logistic_start2_every_sample_lambda10,False,unnecessary_continuation,454,False,False,True,16,False,True,False
True,2,True,0.25,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,456,False,True,False,4,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,467,False,True,False,3,False,False,False
False,2,False,0.0,False,2,False,False,0,safe_logistic_start2_every_sample_lambda10,False,stable_wrong_trajectory,478,False,True,True,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,489,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,495,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,496,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,10,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,13,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,19,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,20,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,34,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,38,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,40,False,True,False,2,False,False,False
False,16,False,0.0,False,16,False,False,1,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,41,False,True,False,12,False,False,False
True,7,True,0.42857142857142855,False,2,True,True,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,46,False,True,False,7,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,47,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,49,False,True,False,2,False,False,False
True,16,False,0.0,False,16,False,True,2,safe_logistic_start2_every_sample_lambda10,False,unstable_trajectory,50,False,True,False,9,False,False,True
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,55,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,77,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,78,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,84,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,85,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,86,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,93,False,True,False,2,False,False,False
False,2,False,0.0,False,2,False,False,0,safe_logistic_start2_every_sample_lambda10,False,stable_wrong_trajectory,104,False,True,True,2,False,False,False
False,16,False,0.0,False,16,False,False,2,safe_logistic_start2_every_sample_lambda10,False,unstable_trajectory,105,False,True,False,13,False,False,True
True,5,False,0.0,False,4,True,True,1,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,112,False,True,False,5,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,114,False,True,False,2,False,False,False
False,16,False,0.0,False,16,False,False,0,safe_logistic_start2_every_sample_lambda10,False,stable_wrong_trajectory,115,False,True,True,11,False,False,False
True,16,False,0.0,False,16,False,True,2,safe_logistic_start2_every_sample_lambda10,False,unstable_trajectory,119,False,True,False,9,False,False,True
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,121,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,122,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,127,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,132,False,True,False,2,False,False,False
True,7,True,0.8571428571428571,False,6,True,True,1,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,136,False,True,False,7,False,False,False
False,16,True,0.3333333333333333,False,2,True,False,2,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,138,False,True,False,15,False,False,True
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,158,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,162,False,True,False,2,False,False,False
False,16,True,0.6666666666666666,False,2,True,False,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,170,False,True,True,9,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,172,False,True,False,2,False,False,False
True,5,False,0.0,False,4,True,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,176,False,True,False,5,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,183,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,198,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,202,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,205,False,True,False,2,False,False,False
True,16,False,0.0,False,16,False,True,2,safe_logistic_start2_every_sample_lambda10,False,unstable_trajectory,210,False,True,False,13,False,False,True
True,4,False,0.0,False,4,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,212,False,True,False,4,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,215,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,218,False,True,False,2,False,False,False
False,2,False,0.0,False,2,False,False,0,safe_logistic_start2_every_sample_lambda10,False,stable_wrong_trajectory,220,False,True,True,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,223,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,231,False,True,False,2,False,False,False
True,6,False,0.0,False,6,False,True,1,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,232,False,True,False,6,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,238,False,True,False,2,False,False,False
False,16,True,1.0,False,16,False,False,0,safe_logistic_start2_every_sample_lambda10,False,unnecessary_continuation,239,False,False,True,16,False,True,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,243,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,256,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,265,False,True,False,2,False,False,False
True,10,False,0.0,False,10,False,True,1,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,267,False,True,False,8,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,277,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,287,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,289,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,297,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,305,False,True,False,2,False,False,False
False,16,False,0.0,False,16,False,False,2,safe_logistic_start2_every_sample_lambda10,False,unnecessary_continuation,308,False,False,False,16,False,True,True
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,314,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,322,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,329,False,True,False,2,False,False,False
True,4,True,0.5,False,2,True,True,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,333,False,True,False,4,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,334,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,336,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,345,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,347,False,True,False,2,False,False,False
False,14,True,0.5454545454545454,False,2,True,False,1,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,352,False,True,False,11,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,354,False,True,False,2,False,False,False
False,16,True,0.08333333333333333,False,16,False,False,1,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,355,False,True,False,12,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,356,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,360,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,368,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,379,False,True,False,2,False,False,False
False,2,False,0.0,False,2,False,True,1,safe_logistic_start2_every_sample_lambda10,True,premature_stop_with_missed_recovery,385,False,False,False,2,False,False,False
False,2,False,0.0,False,2,False,False,0,safe_logistic_start2_every_sample_lambda10,False,stable_wrong_trajectory,392,False,True,True,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,393,False,True,False,2,False,False,False
True,14,True,0.4444444444444444,False,14,False,True,1,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,394,False,True,False,9,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,397,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,402,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,404,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,410,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,415,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,416,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,417,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,426,False,True,False,2,False,False,False
True,4,False,0.0,False,4,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,428,False,True,False,4,False,False,False
False,16,False,0.0,False,16,False,False,4,safe_logistic_start2_every_sample_lambda10,False,unstable_trajectory,431,False,True,False,7,False,False,True
False,16,True,0.75,False,2,True,False,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,432,False,True,True,12,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,435,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,440,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,442,False,True,False,2,False,False,False
True,3,True,0.3333333333333333,False,2,True,True,0,safe_logistic_start2_every_sample_lambda10,False,invalid_extraction_driven_uncertainty,458,False,True,False,3,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,461,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,464,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,468,False,True,False,2,False,False,False
True,10,False,0.0,False,10,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,477,False,True,False,7,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,493,False,True,False,2,False,False,False
True,2,False,0.0,False,2,False,True,0,safe_logistic_start2_every_sample_lambda10,False,safe_early_stop,499,False,True,False,2,False,False,False
