feature,importance,importance_type,model,outer_fold
longest_stable_streak_so_far,0.0005390070885610276,permutation_pr_auc_decrease,histgb,1
top_two_count_gap,0.35256342860931367,permutation_pr_auc_decrease,histgb,1
recent_current_plurality_support,0.0,permutation_pr_auc_decrease,histgb,1
consensus,-0.05149178009330173,standardized_coefficient,logistic,2
answer_entropy,0.7536610234415523,standardized_coefficient,logistic,2
vote_margin,-0.42464355570978685,standardized_coefficient,logistic,2
unique_answers,-0.14023118024818676,standardized_coefficient,logistic,2
answer_stability,-0.7258056218307514,standardized_coefficient,logistic,2
invalid_extraction_rate,0.44669601033271905,standardized_coefficient,logistic,2
prefix,-1.037048126015602,standardized_coefficient,logistic,2
cumulative_output_tokens,-0.2394391355509096,standardized_coefficient,logistic,2
delta_consensus,0.10455565790941822,standardized_coefficient,logistic,2
delta_entropy,-0.03235725460041409,standardized_coefficient,logistic,2
delta_vote_margin,-0.06401464722960881,standardized_coefficient,logistic,2
plurality_changed_previous_step,-0.08191833103429953,standardized_coefficient,logistic,2
plurality_switches_so_far,0.22689640917328263,standardized_coefficient,logistic,2
longest_stable_streak_so_far,0.25069495955525734,standardized_coefficient,logistic,2
top_two_count_gap,-2.475375859483963,standardized_coefficient,logistic,2
recent_current_plurality_support,-0.19640287980222515,standardized_coefficient,logistic,2
consensus,0.027624048310733274,permutation_pr_auc_decrease,histgb,2
answer_entropy,0.0009267221358483458,permutation_pr_auc_decrease,histgb,2
vote_margin,-0.0005282670220037256,permutation_pr_auc_decrease,histgb,2
unique_answers,0.000930036133300649,permutation_pr_auc_decrease,histgb,2
answer_stability,-0.004205361802210128,permutation_pr_auc_decrease,histgb,2
invalid_extraction_rate,0.002878614743447927,permutation_pr_auc_decrease,histgb,2
prefix,0.014997567165648007,permutation_pr_auc_decrease,histgb,2
cumulative_output_tokens,0.030533794052264897,permutation_pr_auc_decrease,histgb,2
delta_consensus,-0.0020721301772833487,permutation_pr_auc_decrease,histgb,2
delta_entropy,0.0006472308871605881,permutation_pr_auc_decrease,histgb,2
delta_vote_margin,-0.008384135578122964,permutation_pr_auc_decrease,histgb,2
plurality_changed_previous_step,0.0,permutation_pr_auc_decrease,histgb,2
plurality_switches_so_far,0.0032730918773481664,permutation_pr_auc_decrease,histgb,2
longest_stable_streak_so_far,0.0014043791097269054,permutation_pr_auc_decrease,histgb,2
top_two_count_gap,0.2849143557910607,permutation_pr_auc_decrease,histgb,2
recent_current_plurality_support,-0.005230275176911714,permutation_pr_auc_decrease,histgb,2
consensus,0.30933760803767457,standardized_coefficient,logistic,3
answer_entropy,0.7173880465307417,standardized_coefficient,logistic,3
vote_margin,-0.7129101100103976,standardized_coefficient,logistic,3
unique_answers,-0.1880414954224221,standardized_coefficient,logistic,3
answer_stability,-0.9909114217354011,standardized_coefficient,logistic,3
invalid_extraction_rate,0.22763435300223067,standardized_coefficient,logistic,3
prefix,-0.9408307998792854,standardized_coefficient,logistic,3
cumulative_output_tokens,0.15123819102097466,standardized_coefficient,logistic,3
delta_consensus,0.13132267720023688,standardized_coefficient,logistic,3
delta_entropy,-0.00403755165445592,standardized_coefficient,logistic,3
delta_vote_margin,-0.08234088617989338,standardized_coefficient,logistic,3
plurality_changed_previous_step,-0.06420027990323302,standardized_coefficient,logistic,3
plurality_switches_so_far,0.02619090423735885,standardized_coefficient,logistic,3
longest_stable_streak_so_far,-0.0063192734065498826,standardized_coefficient,logistic,3
top_two_count_gap,-2.2422394228009686,standardized_coefficient,logistic,3
recent_current_plurality_support,-0.25049126176213793,standardized_coefficient,logistic,3
consensus,0.009280874517897076,permutation_pr_auc_decrease,histgb,3
answer_entropy,-0.0012796921548269946,permutation_pr_auc_decrease,histgb,3
vote_margin,0.10539396217853118,permutation_pr_auc_decrease,histgb,3
unique_answers,0.0005728616547404641,permutation_pr_auc_decrease,histgb,3
answer_stability,0.07818340680355179,permutation_pr_auc_decrease,histgb,3
invalid_extraction_rate,-0.014453611426019775,permutation_pr_auc_decrease,histgb,3
prefix,0.12817232300188794,permutation_pr_auc_decrease,histgb,3
cumulative_output_tokens,0.026895714871864974,permutation_pr_auc_decrease,histgb,3
delta_consensus,0.008493568044697853,permutation_pr_auc_decrease,histgb,3
delta_entropy,0.0021186211725371163,permutation_pr_auc_decrease,histgb,3
delta_vote_margin,-0.00020812583141847086,permutation_pr_auc_decrease,histgb,3
plurality_changed_previous_step,0.0,permutation_pr_auc_decrease,histgb,3
plurality_switches_so_far,0.00023629171144392557,permutation_pr_auc_decrease,histgb,3
longest_stable_streak_so_far,-0.005225311908297203,permutation_pr_auc_decrease,histgb,3
top_two_count_gap,0.3436098859940889,permutation_pr_auc_decrease,histgb,3
recent_current_plurality_support,0.013054483477545963,permutation_pr_auc_decrease,histgb,3
consensus,-0.13557303296864287,standardized_coefficient,logistic,4
answer_entropy,0.5429776778335402,standardized_coefficient,logistic,4
vote_margin,-0.3568977953079004,standardized_coefficient,logistic,4
unique_answers,0.0520321458229735,standardized_coefficient,logistic,4
answer_stability,-0.2701423213786697,standardized_coefficient,logistic,4
invalid_extraction_rate,0.26871647649278585,standardized_coefficient,logistic,4
prefix,-1.3477592699505627,standardized_coefficient,logistic,4
cumulative_output_tokens,0.2668510348049466,standardized_coefficient,logistic,4
delta_consensus,-0.002471131994264861,standardized_coefficient,logistic,4
delta_entropy,0.004149780183323875,standardized_coefficient,logistic,4
delta_vote_margin,-0.009398551098132576,standardized_coefficient,logistic,4
plurality_changed_previous_step,-0.009175694747723598,standardized_coefficient,logistic,4
plurality_switches_so_far,0.04213100400485659,standardized_coefficient,logistic,4
longest_stable_streak_so_far,-0.16657123536238036,standardized_coefficient,logistic,4
top_two_count_gap,-1.496781649707925,standardized_coefficient,logistic,4
recent_current_plurality_support,-0.2367692634400883,standardized_coefficient,logistic,4
consensus,0.010245304113013876,permutation_pr_auc_decrease,histgb,4
answer_entropy,-0.00038597590678515206,permutation_pr_auc_decrease,histgb,4
vote_margin,0.11545745865459775,permutation_pr_auc_decrease,histgb,4
unique_answers,-0.0004714866438206289,permutation_pr_auc_decrease,histgb,4
answer_stability,0.003997395584132502,permutation_pr_auc_decrease,histgb,4
invalid_extraction_rate,-0.0015157195403327384,permutation_pr_auc_decrease,histgb,4
prefix,0.08429025265104212,permutation_pr_auc_decrease,histgb,4
cumulative_output_tokens,0.0074434287717901615,permutation_pr_auc_decrease,histgb,4
delta_consensus,-0.001662861498418189,permutation_pr_auc_decrease,histgb,4
delta_entropy,0.00030439165802536027,permutation_pr_auc_decrease,histgb,4
delta_vote_margin,-0.0010692654343205988,permutation_pr_auc_decrease,histgb,4
plurality_changed_previous_step,0.0,permutation_pr_auc_decrease,histgb,4
plurality_switches_so_far,-0.0030345538846387687,permutation_pr_auc_decrease,histgb,4
longest_stable_streak_so_far,0.009965124100187451,permutation_pr_auc_decrease,histgb,4
top_two_count_gap,0.25693353335636904,permutation_pr_auc_decrease,histgb,4
recent_current_plurality_support,-0.004528214742072767,permutation_pr_auc_decrease,histgb,4
consensus,-0.26534037813272077,standardized_coefficient,logistic,5
answer_entropy,0.34974741234043705,standardized_coefficient,logistic,5
vote_margin,-0.6271106211008517,standardized_coefficient,logistic,5
unique_answers,-0.06021795638934389,standardized_coefficient,logistic,5
answer_stability,-0.3508442717837269,standardized_coefficient,logistic,5
invalid_extraction_rate,-0.02014829625093083,standardized_coefficient,logistic,5
prefix,-0.8596992010794443,standardized_coefficient,logistic,5
cumulative_output_tokens,-0.18205749871260432,standardized_coefficient,logistic,5
delta_consensus,0.16473240660799407,standardized_coefficient,logistic,5
delta_entropy,-0.04028313500795881,standardized_coefficient,logistic,5
delta_vote_margin,-0.07894304460053311,standardized_coefficient,logistic,5
plurality_changed_previous_step,-0.037745631660333206,standardized_coefficient,logistic,5
plurality_switches_so_far,-0.007434475878868823,standardized_coefficient,logistic,5
longest_stable_streak_so_far,-0.13143834413906547,standardized_coefficient,logistic,5
top_two_count_gap,-1.2066735442367593,standardized_coefficient,logistic,5
recent_current_plurality_support,-0.3401918083288327,standardized_coefficient,logistic,5
consensus,0.09485742009542539,permutation_pr_auc_decrease,histgb,5
answer_entropy,-0.00653490478181683,permutation_pr_auc_decrease,histgb,5
vote_margin,0.08335381935868189,permutation_pr_auc_decrease,histgb,5
unique_answers,0.0033975157249920397,permutation_pr_auc_decrease,histgb,5
answer_stability,-0.0027742431350072706,permutation_pr_auc_decrease,histgb,5
invalid_extraction_rate,-0.027244119217398843,permutation_pr_auc_decrease,histgb,5
prefix,0.042234834612232895,permutation_pr_auc_decrease,histgb,5
cumulative_output_tokens,0.023015859128000048,permutation_pr_auc_decrease,histgb,5
delta_consensus,-0.0019264404963226013,permutation_pr_auc_decrease,histgb,5
delta_entropy,-0.010429307534842258,permutation_pr_auc_decrease,histgb,5
delta_vote_margin,-0.0013820192633134498,permutation_pr_auc_decrease,histgb,5
plurality_changed_previous_step,1.4792665078477985e-05,permutation_pr_auc_decrease,histgb,5
plurality_switches_so_far,-0.007512519997459477,permutation_pr_auc_decrease,histgb,5
longest_stable_streak_so_far,0.00910560626676098,permutation_pr_auc_decrease,histgb,5
top_two_count_gap,0.2697398788528362,permutation_pr_auc_decrease,histgb,5
recent_current_plurality_support,0.024284077956734172,permutation_pr_auc_decrease,histgb,5
