accuracy,both_correct,both_wrong,brier_score,calibration,calibration_error_10bin,feature_group,features,fn,fp,lambda_miss,mean_samples,mean_tokens,median_samples,missed_recoveries,model,n16_only_correct,n_questions,outer_fold,policy_id,policy_only_correct,policy_type,positive_prevalence,pr_auc,premature_stopping_errors,regressions_avoided,roc_auc,sample_reduction_vs_n16_pct,schedule,scope,selected_on,selected_tau,start_prefix,tn,token_reduction_vs_n16_pct,total_samples,total_tokens,tp,unnecessary_continuations,unsafe_precision,unsafe_recall
0.85,85,14,0.04428232501354222,sigmoid,0.03144027685274865,D_consensus_entropy_margin,consensus|answer_entropy|vote_margin,58,37,10,4.11,2533.03,2.0,1,,1,100,2,ablation_D_consensus_entropy_margin,0,,0.051333333333333335,0.2962984967638177,8,0,0.8299641328453696,74.3125,,outer_fold,,0.05,,1386,70.85506521001248,411,253303,19,12,0.3392857142857143,0.24675324675324675
0.86,86,14,0.03912320940989948,sigmoid,0.033786022919864,E_disagreement_stability,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate|answer_stability|plurality_changed_previous_step|plurality_switches_so_far|longest_stable_streak_so_far|recent_current_plurality_support,29,53,10,6.7,4158.9,4.0,0,,0,100,2,ablation_E_disagreement_stability,0,,0.051333333333333335,0.4300256080524293,2,0,0.9456790574148269,58.12500000000001,,outer_fold,,0.03,,1370,52.1478745620545,670,415890,48,16,0.4752475247524752,0.6233766233766234
0.86,86,14,0.037296046130127616,sigmoid,0.03012642332450108,F_all_original,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens,34,43,10,5.82,3717.98,3.0,0,,0,100,2,ablation_F_all_original,0,,0.051333333333333335,0.4789864023450699,3,0,0.9512781666681878,63.625,,outer_fold,,0.05,,1380,57.221081214798964,582,371798,43,15,0.5,0.5584415584415584
0.85,85,14,0.03673405655617862,sigmoid,0.027034465946404865,G_original_plus_trajectory,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens|delta_consensus|delta_entropy|delta_vote_margin|plurality_changed_previous_step|plurality_switches_so_far|longest_stable_streak_so_far|top_two_count_gap|recent_current_plurality_support,36,44,10,4.43,2866.92,2.0,1,,1,100,2,ablation_G_original_plus_trajectory,0,,0.051333333333333335,0.4901809781638043,5,0,0.9541073824278322,72.3125,,outer_fold,,0.075,,1379,67.01334115738425,443,286692,41,13,0.4823529411764706,0.5324675324675324
0.77,75,21,0.0618274889132527,sigmoid,0.021616764973684567,A_consensus_only,consensus,108,15,10,4.15,2805.02,2.0,2,,2,100,3,ablation_A_consensus_only,2,,0.09133333333333334,0.472377277012617,15,2,0.8624063492403512,74.0625,,outer_fold,,0.05,,1348,69.43626935552938,415,280502,29,12,0.6590909090909091,0.2116788321167883
0.76,75,22,0.06319292568206326,sigmoid,0.025169607082128384,B_vote_margin_only,vote_margin,137,0,10,4.55,3069.88,2.0,2,,2,100,3,ablation_B_vote_margin_only,1,,0.09133333333333334,0.4223389608269484,13,1,0.8643583550669145,71.5625,,outer_fold,,0.05,,1363,66.55033282085424,455,306988,0,15,0,0.0
0.77,75,21,0.07801744405417654,sigmoid,0.027586880972046257,C_entropy_only,answer_entropy,137,0,10,4.15,2805.02,2.0,2,,2,100,3,ablation_C_entropy_only,2,,0.09133333333333334,0.2373831737112163,15,2,0.7137192003470233,74.0625,,outer_fold,,0.075,,1363,69.43626935552938,415,280502,0,12,0,0.0
0.76,75,22,0.06538616170736772,sigmoid,0.031504868213576405,D_consensus_entropy_margin,consensus|answer_entropy|vote_margin,108,15,10,4.42,2969.19,2.0,2,,2,100,3,ablation_D_consensus_entropy_margin,1,,0.09133333333333334,0.4669448668911855,14,1,0.8683373408807322,72.375,,outer_fold,,0.05,,1348,67.64745941481497,442,296919,29,13,0.6590909090909091,0.2116788321167883
0.75,75,23,0.060897110102346594,sigmoid,0.0258432843497019,E_disagreement_stability,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate|answer_stability|plurality_changed_previous_step|plurality_switches_so_far|longest_stable_streak_so_far|recent_current_plurality_support,108,19,10,5.04,3553.94,2.0,2,,2,100,3,ablation_E_disagreement_stability,0,,0.09133333333333334,0.48861265756319217,11,0,0.9121249283729,68.5,,outer_fold,,0.075,,1344,61.27597489978327,504,355394,29,18,0.6041666666666666,0.2116788321167883
0.77,75,21,0.05853970541247516,sigmoid,0.0264399504956445,F_all_original,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens,105,9,10,4.46,3097.12,2.0,2,,2,100,3,ablation_F_all_original,2,,0.09133333333333334,0.5540800748382679,14,2,0.9230068922674863,72.125,,outer_fold,,0.1,,1354,66.25352352082949,446,309712,32,12,0.7804878048780488,0.23357664233576642
0.77,75,21,0.05786727757516877,sigmoid,0.025125778165123513,G_original_plus_trajectory,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens|delta_consensus|delta_entropy|delta_vote_margin|plurality_changed_previous_step|plurality_switches_so_far|longest_stable_streak_so_far|top_two_count_gap|recent_current_plurality_support,120,9,10,4.15,2815.95,2.0,2,,2,100,3,ablation_G_original_plus_trajectory,2,,0.09133333333333334,0.5452425976335886,15,2,0.9295082230588386,74.0625,,outer_fold,,0.2,,1354,69.3171751686986,415,281595,17,11,0.6538461538461539,0.12408759124087591
0.75,74,22,0.05537294195602959,sigmoid,0.019728202428351133,A_consensus_only,consensus,85,15,10,4.19,2519.18,2.0,3,,3,100,4,ablation_A_consensus_only,1,,0.066,0.24197411703827648,18,1,0.8060259987454848,73.81249999999999,,outer_fold,,0.15,,1386,70.85958655726972,419,251918,14,13,0.4827586206896552,0.1414141414141414
0.75,74,22,0.05222163337956409,sigmoid,0.00888784451475388,B_vote_margin_only,vote_margin,99,0,10,4.19,2519.18,2.0,3,,3,100,4,ablation_B_vote_margin_only,1,,0.066,0.2687071534172306,18,1,0.8331530869004102,73.81249999999999,,outer_fold,,0.1,,1401,70.85958655726972,419,251918,0,13,0,0.0
0.75,74,22,0.06262858736395016,sigmoid,0.02575349476035268,C_entropy_only,answer_entropy,99,0,10,4.19,2519.18,2.0,3,,3,100,4,ablation_C_entropy_only,1,,0.066,0.11188785546159845,18,1,0.6891794461387609,73.81249999999999,,outer_fold,,0.3,,1401,70.85958655726972,419,251918,0,13,0,0.0
0.75,74,22,0.05534883706122164,sigmoid,0.03142598634502793,D_consensus_entropy_margin,consensus|answer_entropy|vote_margin,85,15,10,4.19,2519.18,2.0,3,,3,100,4,ablation_D_consensus_entropy_margin,1,,0.066,0.32982827086704475,18,1,0.8459866329245344,73.81249999999999,,outer_fold,,0.075,,1386,70.85958655726972,419,251918,14,13,0.4827586206896552,0.1414141414141414
0.75,74,22,0.0506523436949283,sigmoid,0.01034773847921102,E_disagreement_stability,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate|answer_stability|plurality_changed_previous_step|plurality_switches_so_far|longest_stable_streak_so_far|recent_current_plurality_support,85,15,10,4.19,2519.18,2.0,3,,3,100,4,ablation_E_disagreement_stability,1,,0.066,0.34917309135580255,18,1,0.9019315207752039,73.81249999999999,,outer_fold,,0.2,,1386,70.85958655726972,419,251918,14,13,0.4827586206896552,0.1414141414141414
0.75,74,22,0.048261019103647385,sigmoid,0.015299806823855563,F_all_original,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens,85,8,10,4.19,2519.18,2.0,3,,3,100,4,ablation_F_all_original,1,,0.066,0.4224978081963247,18,1,0.9015025342648469,73.81249999999999,,outer_fold,,0.2,,1393,70.85958655726972,419,251918,14,13,0.6363636363636364,0.1414141414141414
0.75,74,22,0.04839103864399374,sigmoid,0.01740928659204401,G_original_plus_trajectory,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens|delta_consensus|delta_entropy|delta_vote_margin|plurality_changed_previous_step|plurality_switches_so_far|longest_stable_streak_so_far|top_two_count_gap|recent_current_plurality_support,82,10,10,4.19,2519.18,2.0,3,,3,100,4,ablation_G_original_plus_trajectory,1,,0.066,0.40986948212241275,18,1,0.8983518266173511,73.81249999999999,,outer_fold,,0.3,,1391,70.85958655726972,419,251918,17,13,0.6296296296296297,0.1717171717171717
0.76,72,19,0.0642065721293659,sigmoid,0.0396164488234372,A_consensus_only,consensus,90,39,10,4.12,2457.86,2.0,5,,5,100,5,ablation_A_consensus_only,4,,0.07933333333333334,0.3604927026791538,17,4,0.7939746499613604,74.25,,outer_fold,,0.15,,1342,71.4600888758838,412,245786,29,13,0.4264705882352941,0.24369747899159663
0.74,72,21,0.05931230126551283,sigmoid,0.04357140655835433,B_vote_margin_only,vote_margin,119,0,10,4.81,2790.85,2.0,5,,5,100,5,ablation_B_vote_margin_only,2,,0.07933333333333334,0.4163139581142447,15,2,0.8198479971278881,69.93750000000001,,outer_fold,,0.03,,1381,67.59351185147253,481,279085,0,16,0,0.0
0.74,72,21,0.07378504842295289,sigmoid,0.04799326432285128,C_entropy_only,answer_entropy,116,16,10,4.84,2802.05,2.0,5,,5,100,5,ablation_C_entropy_only,2,,0.07933333333333334,0.16619571341739015,14,2,0.7111306506672184,69.75,,outer_fold,,0.075,,1365,67.46346091098361,484,280205,3,17,0.15789473684210525,0.025210084033613446
0.74,72,21,0.05366792163900785,sigmoid,0.03037729276927666,D_consensus_entropy_margin,consensus|answer_entropy|vote_margin,79,27,10,4.86,2810.91,2.0,5,,5,100,5,ablation_D_consensus_entropy_margin,2,,0.07933333333333334,0.4708215358008703,14,2,0.8227931288373423,69.625,,outer_fold,,0.02,,1354,67.36058132770398,486,281091,40,17,0.5970149253731343,0.33613445378151263
0.75,72,20,0.05648241197572571,sigmoid,0.02705064350108206,E_disagreement_stability,consensus|answer_entropy|vote_margin|unique_answers|invalid_extraction_rate|answer_stability|plurality_changed_previous_step|plurality_switches_so_far|longest_stable_streak_so_far|recent_current_plurality_support,64,43,10,4.43,2587.12,2.0,5,,5,100,5,ablation_E_disagreement_stability,3,,0.07933333333333334,0.44565218038424487,17,3,0.9105933466797291,72.3125,,outer_fold,,0.2,,1338,69.95916168234825,443,258712,55,13,0.5612244897959183,0.46218487394957986
0.76,72,19,0.05338727294726223,sigmoid,0.02202700721652793,F_all_original,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens,67,38,10,4.12,2457.86,2.0,5,,5,100,5,ablation_F_all_original,4,,0.07933333333333334,0.49354221542072063,17,4,0.9181478529137941,74.25,,outer_fold,,0.3,,1343,71.4600888758838,412,245786,52,13,0.5777777777777777,0.4369747899159664
0.76,72,19,0.04936288074423264,sigmoid,0.020672789977612883,G_original_plus_trajectory,consensus|answer_entropy|vote_margin|unique_answers|answer_stability|invalid_extraction_rate|prefix|cumulative_output_tokens|delta_consensus|delta_entropy|delta_vote_margin|plurality_changed_previous_step|plurality_switches_so_far|longest_stable_streak_so_far|top_two_count_gap|recent_current_plurality_support,66,31,10,4.12,2457.86,2.0,5,,5,100,5,ablation_G_original_plus_trajectory,4,,0.07933333333333334,0.5298320320880413,17,4,0.9351675500033467,74.25,,outer_fold,,0.3,,1350,71.4600888758838,412,245786,53,13,0.6309523809523809,0.44537815126050423
0.784,383,97,,,,A_consensus_only,,,,10,4.316,2739.54,2.0,11,logistic,11,500,all,ablation_A_consensus_only,9,hybrid_feature_ablation,,,71,9,,73.025,every_sample,outer_aggregate,inner_oof,,2,,69.1456065088924,2158,1369770,,69,,
0.778,383,100,,,,B_vote_margin_only,,,,10,4.522,2851.254,2.0,11,logistic,11,500,all,ablation_B_vote_margin_only,6,hybrid_feature_ablation,,,68,6,,71.7375,every_sample,outer_aggregate,inner_oof,,2,,67.88741436186567,2261,1425627,,74,,
0.78,383,99,,,,C_entropy_only,,,,10,4.516,2840.548,2.0,11,logistic,11,500,all,ablation_C_entropy_only,7,hybrid_feature_ablation,,,68,7,,71.775,every_sample,outer_aggregate,inner_oof,,2,,68.00799195398545,2258,1420274,,76,,
0.778,383,100,,,,D_consensus_entropy_margin,,,,10,4.356,2743.014,2.0,11,logistic,11,500,all,ablation_D_consensus_entropy_margin,6,hybrid_feature_ablation,,,69,6,,72.775,every_sample,outer_aggregate,inner_oof,,2,,69.10648017272352,2178,1371507,,65,,
0.778,384,101,,,,E_disagreement_stability,,,,10,5.01,3235.1,2.0,10,logistic,10,500,all,ablation_E_disagreement_stability,5,hybrid_feature_ablation,,,61,5,,68.6875,every_sample,outer_aggregate,inner_oof,,2,,63.564303356372896,2505,1617550,,72,,
0.784,384,98,,,,F_all_original,,,,10,4.694,3062.68,2.0,10,logistic,10,500,all,ablation_F_all_original,8,hybrid_feature_ablation,,,64,8,,70.66250000000001,every_sample,outer_aggregate,inner_oof,,2,,65.50620401332142,2347,1531340,,65,,
0.782,383,98,,,,G_original_plus_trajectory,,,,10,4.324,2811.392,2.0,11,logistic,11,500,all,ablation_G_original_plus_trajectory,8,hybrid_feature_ablation,,,68,8,,72.975,every_sample,outer_aggregate,inner_oof,,2,,68.33636485477416,2162,1405696,,61,,
